protein_id	protein_name	genome_name	genome_id	length
ADT64063.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	89
ADT64064.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	142
ADT64065.1--GCA_000893335.1	holin	Streptococcus phage Dp-1	GCA_000893335.1	74
ADT64066.1--GCA_000893335.1	endolysin	Streptococcus phage Dp-1	GCA_000893335.1	296
ADT64067.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	234
ADT64068.1--GCA_000893335.1	putative ATP-dependent helicase	Streptococcus phage Dp-1	GCA_000893335.1	545
ADT64069.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	85
ADT64070.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	113
ADT64071.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	139
ADT64072.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	159
ADT64073.1--GCA_000893335.1	DnaC, partial	Streptococcus phage Dp-1	GCA_000893335.1	214
ADT64074.1--GCA_000893335.1	DnaB	Streptococcus phage Dp-1	GCA_000893335.1	445
ADT64075.1--GCA_000893335.1	DnaG	Streptococcus phage Dp-1	GCA_000893335.1	339
ADT64076.1--GCA_000893335.1	RNA polymerase sigma factor	Streptococcus phage Dp-1	GCA_000893335.1	204
ADT64077.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	242
ADT64078.1--GCA_000893335.1	DNA polymerase I	Streptococcus phage Dp-1	GCA_000893335.1	779
ADT64079.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	177
AGN30009.2--GCA_000910195.2	hypothetical protein VPFG_00001	Vibrio phage nt-1	GCA_000910195.2	161
AGN30010.1--GCA_000910195.2	hypothetical protein VPFG_00002	Vibrio phage nt-1	GCA_000910195.2	98
AGN30011.1--GCA_000910195.2	hypothetical protein VPFG_00003	Vibrio phage nt-1	GCA_000910195.2	119
AGN30012.1--GCA_000910195.2	hypothetical protein VPFG_00004	Vibrio phage nt-1	GCA_000910195.2	291
AGN30013.1--GCA_000910195.2	baseplate wedge subunit	Vibrio phage nt-1	GCA_000910195.2	139
AGN30014.1--GCA_000910195.2	baseplate wedge subunit	Vibrio phage nt-1	GCA_000910195.2	652
AGN30015.1--GCA_000910195.2	baseplate wedge initiator	Vibrio phage nt-1	GCA_000910195.2	1155
AGN30016.2--GCA_000910195.2	baseplate wedge subunit	Vibrio phage nt-1	GCA_000910195.2	343
AGN30017.1--GCA_000910195.2	baseplate wedge tail fiber connector	Vibrio phage nt-1	GCA_000910195.2	318
AGN30018.1--GCA_000910195.2	baseplate wedge subunit and tail pin	Vibrio phage nt-1	GCA_000910195.2	748
AGN30019.2--GCA_000910195.2	baseplate wedge subunit and tail pin	Vibrio phage nt-1	GCA_000910195.2	228
AGN30020.1--GCA_000910195.2	short tail fibers	Vibrio phage nt-1	GCA_000910195.2	512
AGN30021.1--GCA_000910195.2	short tail fibers	Vibrio phage nt-1	GCA_000910195.2	473
AGN30022.2--GCA_000910195.2	Wac fibritin neck whiskers	Vibrio phage nt-1	GCA_000910195.2	570
AGN30023.1--GCA_000910195.2	neck protein	Vibrio phage nt-1	GCA_000910195.2	305
AGN30024.2--GCA_000910195.2	neck protein	Vibrio phage nt-1	GCA_000910195.2	278
AGN30025.2--GCA_000910195.2	tail sheath stabilizer and completion protein	Vibrio phage nt-1	GCA_000910195.2	378
AGN30026.1--GCA_000910195.2	hypothetical protein VPFG_00018	Vibrio phage nt-1	GCA_000910195.2	182
AGN30027.2--GCA_000910195.2	terminase DNA packaging enzyme small subunit	Vibrio phage nt-1	GCA_000910195.2	181
AGN30028.1--GCA_000910195.2	terminase DNA packaging enzyme large subunit	Vibrio phage nt-1	GCA_000910195.2	600
AGN30029.1--GCA_000910195.2	tail sheath protein	Vibrio phage nt-1	GCA_000910195.2	671
AGN30030.1--GCA_000910195.2	tail tube protein	Vibrio phage nt-1	GCA_000910195.2	166
AGN30031.1--GCA_000910195.2	portal vertex protein of head	Vibrio phage nt-1	GCA_000910195.2	515
AGN30032.1--GCA_000910195.2	hypothetical protein VPFG_00024	Vibrio phage nt-1	GCA_000910195.2	55
AGN30033.1--GCA_000910195.2	prohead core protein	Vibrio phage nt-1	GCA_000910195.2	161
AGN30034.1--GCA_000910195.2	major head protein	Vibrio phage nt-1	GCA_000910195.2	516
AGN30035.1--GCA_000910195.2	hypothetical protein VPFG_00030	Vibrio phage nt-1	GCA_000910195.2	113
AGN30036.1--GCA_000910195.2	hypothetical protein VPFG_00031	Vibrio phage nt-1	GCA_000910195.2	486
AGN30037.1--GCA_000910195.2	hypothetical protein VPFG_00032	Vibrio phage nt-1	GCA_000910195.2	162
AGN30038.1--GCA_000910195.2	hypothetical protein VPFG_00033	Vibrio phage nt-1	GCA_000910195.2	111
AGN30039.1--GCA_000910195.2	hypothetical protein VPFG_00034	Vibrio phage nt-1	GCA_000910195.2	392
AGN30040.1--GCA_000910195.2	hypothetical protein VPFG_00035	Vibrio phage nt-1	GCA_000910195.2	306
AGN30041.1--GCA_000910195.2	hypothetical protein VPFG_00036	Vibrio phage nt-1	GCA_000910195.2	196
AGN30042.1--GCA_000910195.2	hypothetical protein VPFG_00037	Vibrio phage nt-1	GCA_000910195.2	91
AGN30043.1--GCA_000910195.2	hypothetical protein VPFG_00038	Vibrio phage nt-1	GCA_000910195.2	162
AGN30044.1--GCA_000910195.2	hypothetical protein VPFG_00039	Vibrio phage nt-1	GCA_000910195.2	158
AGN30045.2--GCA_000910195.2	hypothetical protein VPFG_00040	Vibrio phage nt-1	GCA_000910195.2	95
AGN30046.1--GCA_000910195.2	UvsW RNA-DNA and DNA-DNA helicase ATPase	Vibrio phage nt-1	GCA_000910195.2	507
AGN30047.1--GCA_000910195.2	UvsY-2	Vibrio phage nt-1	GCA_000910195.2	56
AGN30048.1--GCA_000910195.2	hypothetical protein VPFG_00043	Vibrio phage nt-1	GCA_000910195.2	54
AGN30049.1--GCA_000910195.2	GatB/YqeY domain protein	Vibrio phage nt-1	GCA_000910195.2	137
AGN30050.1--GCA_000910195.2	UvsY recombination, repair and ssDNA binding protein	Vibrio phage nt-1	GCA_000910195.2	137
AGN30051.1--GCA_000910195.2	hinge connector of long tail fiber proximal connector	Vibrio phage nt-1	GCA_000910195.2	900
AGN30052.1--GCA_000910195.2	long tail fiber proximal subunit	Vibrio phage nt-1	GCA_000910195.2	1246
AGN30053.1--GCA_000910195.2	DsbA dsDNA binding protein late transcription	Vibrio phage nt-1	GCA_000910195.2	91
AGN30054.2--GCA_000910195.2	loader of DNA helicase	Vibrio phage nt-1	GCA_000910195.2	223
AGN30055.2--GCA_000910195.2	single-stranded DNA binding protein	Vibrio phage nt-1	GCA_000910195.2	306
AGN30056.2--GCA_000910195.2	Frd dihydrofolate reductase	Vibrio phage nt-1	GCA_000910195.2	186
AGN30057.1--GCA_000910195.2	putative Clp protease	Vibrio phage nt-1	GCA_000910195.2	244
AGN30058.1--GCA_000910195.2	UvsX RecA-like recombination protein	Vibrio phage nt-1	GCA_000910195.2	366
AGN30059.1--GCA_000910195.2	hypothetical protein VPFG_00056	Vibrio phage nt-1	GCA_000910195.2	100
AGN30060.2--GCA_000910195.2	DNA primase-helicase subunit	Vibrio phage nt-1	GCA_000910195.2	429
AGN30061.1--GCA_000910195.2	hypothetical protein VPFG_00058	Vibrio phage nt-1	GCA_000910195.2	81
AGN30062.1--GCA_000910195.2	anaerobic ribonucleoside-triphosphate reductase	Vibrio phage nt-1	GCA_000910195.2	611
AGN30063.1--GCA_000910195.2	hypothetical protein VPFG_00060	Vibrio phage nt-1	GCA_000910195.2	140
AGN30064.1--GCA_000910195.2	hypothetical protein VPFG_00061	Vibrio phage nt-1	GCA_000910195.2	82
AGN30065.2--GCA_000910195.2	hypothetical protein VPFG_00062	Vibrio phage nt-1	GCA_000910195.2	179
AGN30066.2--GCA_000910195.2	NrdG anaerobic NTP reductase small subunit	Vibrio phage nt-1	GCA_000910195.2	140
AGN30067.1--GCA_000910195.2	hypothetical protein VPFG_00064	Vibrio phage nt-1	GCA_000910195.2	69
AGN30068.1--GCA_000910195.2	putative phosphoesterase or phosphohydrolase	Vibrio phage nt-1	GCA_000910195.2	174
AGN30069.1--GCA_000910195.2	hypothetical protein VPFG_00066	Vibrio phage nt-1	GCA_000910195.2	281
AGN30070.1--GCA_000910195.2	hypothetical protein VPFG_00068	Vibrio phage nt-1	GCA_000910195.2	159
AGN30071.2--GCA_000910195.2	DNA primase subunit	Vibrio phage nt-1	GCA_000910195.2	352
AGN30072.1--GCA_000910195.2	deoxyuridine 5'-triphosphate nucleotidohydrolase	Vibrio phage nt-1	GCA_000910195.2	203
AGN30073.1--GCA_000910195.2	hypothetical protein VPFG_00071	Vibrio phage nt-1	GCA_000910195.2	75
AGN30074.1--GCA_000910195.2	DexA exonuclease A	Vibrio phage nt-1	GCA_000910195.2	227
AGN30075.1--GCA_000910195.2	hypothetical protein VPFG_00073	Vibrio phage nt-1	GCA_000910195.2	53
AGN30076.1--GCA_000910195.2	hypothetical protein VPFG_00074	Vibrio phage nt-1	GCA_000910195.2	74
AGN30077.1--GCA_000910195.2	hypothetical protein VPFG_00075	Vibrio phage nt-1	GCA_000910195.2	129
AGN30078.1--GCA_000910195.2	hypothetical protein VPFG_00076	Vibrio phage nt-1	GCA_000910195.2	149
AGN30079.1--GCA_000910195.2	hypothetical protein VPFG_00077	Vibrio phage nt-1	GCA_000910195.2	74
AGN30080.1--GCA_000910195.2	hypothetical protein VPFG_00078	Vibrio phage nt-1	GCA_000910195.2	61
AGN30081.2--GCA_000910195.2	Td dTMP (thymidylate) synthase	Vibrio phage nt-1	GCA_000910195.2	299
AGN30082.1--GCA_000910195.2	hypothetical protein VPFG_00080	Vibrio phage nt-1	GCA_000910195.2	65
AGN30083.1--GCA_000910195.2	hypothetical protein VPFG_00081	Vibrio phage nt-1	GCA_000910195.2	96
AGN30084.1--GCA_000910195.2	hypothetical protein VPFG_00082	Vibrio phage nt-1	GCA_000910195.2	107
AGN30085.1--GCA_000910195.2	hypothetical protein VPFG_00083	Vibrio phage nt-1	GCA_000910195.2	98
AGN30086.1--GCA_000910195.2	hypothetical protein VPFG_00084	Vibrio phage nt-1	GCA_000910195.2	253
AGN30087.1--GCA_000910195.2	hypothetical protein VPFG_00085	Vibrio phage nt-1	GCA_000910195.2	109
AGN30088.1--GCA_000910195.2	hypothetical protein VPFG_00086	Vibrio phage nt-1	GCA_000910195.2	134
AGN30089.1--GCA_000910195.2	hypothetical protein VPFG_00087	Vibrio phage nt-1	GCA_000910195.2	235
AGN30090.1--GCA_000910195.2	hypothetical protein VPFG_00088	Vibrio phage nt-1	GCA_000910195.2	84
AGN30091.2--GCA_000910195.2	hypothetical protein VPFG_00089	Vibrio phage nt-1	GCA_000910195.2	80
AGN30092.1--GCA_000910195.2	hypothetical protein VPFG_00090	Vibrio phage nt-1	GCA_000910195.2	122
AGN30093.1--GCA_000910195.2	Sir2 family NAD-dependent protein deacetylase	Vibrio phage nt-1	GCA_000910195.2	253
AGN30094.2--GCA_000910195.2	topoisomerase II large subunit	Vibrio phage nt-1	GCA_000910195.2	597
AGN30095.2--GCA_000910195.2	hypothetical protein VPFG_00093	Vibrio phage nt-1	GCA_000910195.2	76
AGN30096.2--GCA_000910195.2	hypothetical protein VPFG_00094	Vibrio phage nt-1	GCA_000910195.2	71
AGN30097.2--GCA_000910195.2	hypothetical protein VPFG_00095	Vibrio phage nt-1	GCA_000910195.2	86
AGN30098.1--GCA_000910195.2	hypothetical protein VPFG_00096	Vibrio phage nt-1	GCA_000910195.2	128
AGN30099.2--GCA_000910195.2	hypothetical protein VPFG_00097	Vibrio phage nt-1	GCA_000910195.2	86
AGN30100.1--GCA_000910195.2	metallophosphoesterase	Vibrio phage nt-1	GCA_000910195.2	242
AGN30101.1--GCA_000910195.2	hypothetical protein VPFG_00099	Vibrio phage nt-1	GCA_000910195.2	71
AGN30102.1--GCA_000910195.2	hypothetical protein VPFG_00100	Vibrio phage nt-1	GCA_000910195.2	81
AGN30103.1--GCA_000910195.2	hypothetical protein VPFG_00101	Vibrio phage nt-1	GCA_000910195.2	170
AGN30104.1--GCA_000910195.2	hypothetical protein VPFG_00102	Vibrio phage nt-1	GCA_000910195.2	198
AGN30105.1--GCA_000910195.2	hypothetical protein VPFG_00103	Vibrio phage nt-1	GCA_000910195.2	100
AGN30106.1--GCA_000910195.2	DNA ligase	Vibrio phage nt-1	GCA_000910195.2	444
AGN30107.1--GCA_000910195.2	hypothetical protein VPFG_00105	Vibrio phage nt-1	GCA_000910195.2	295
AGN30108.2--GCA_000910195.2	Alt RNA polymerase ADP-ribosylase	Vibrio phage nt-1	GCA_000910195.2	547
AGN30109.1--GCA_000910195.2	hypothetical protein VPFG_00107	Vibrio phage nt-1	GCA_000910195.2	184
AGN30110.1--GCA_000910195.2	hypothetical protein VPFG_00108	Vibrio phage nt-1	GCA_000910195.2	271
AGN30111.1--GCA_000910195.2	hypothetical protein VPFG_00109	Vibrio phage nt-1	GCA_000910195.2	79
AGN30112.1--GCA_000910195.2	head vertex protein	Vibrio phage nt-1	GCA_000910195.2	297
AGN30113.1--GCA_000910195.2	sigma factor for late transcription	Vibrio phage nt-1	GCA_000910195.2	171
AGN30114.1--GCA_000910195.2	hypothetical protein VPFG_00112	Vibrio phage nt-1	GCA_000910195.2	481
AGN30115.1--GCA_000910195.2	hypothetical protein VPFG_00113	Vibrio phage nt-1	GCA_000910195.2	215
AGN30116.1--GCA_000910195.2	hypothetical protein VPFG_00114	Vibrio phage nt-1	GCA_000910195.2	87
AGN30117.1--GCA_000910195.2	hypothetical protein VPFG_00115	Vibrio phage nt-1	GCA_000910195.2	153
AGN30118.1--GCA_000910195.2	hypothetical protein VPFG_00116	Vibrio phage nt-1	GCA_000910195.2	119
AGN30119.1--GCA_000910195.2	hypothetical protein VPFG_00117	Vibrio phage nt-1	GCA_000910195.2	154
AGN30120.2--GCA_000910195.2	deoxyribonucleotidase	Vibrio phage nt-1	GCA_000910195.2	166
AGN30121.1--GCA_000910195.2	recombination endonuclease subunit	Vibrio phage nt-1	GCA_000910195.2	346
AGN30122.1--GCA_000910195.2	hypothetical protein VPFG_00120	Vibrio phage nt-1	GCA_000910195.2	75
AGN30123.1--GCA_000910195.2	recombination endonuclease subunit	Vibrio phage nt-1	GCA_000910195.2	745
AGN30124.1--GCA_000910195.2	hypothetical protein VPFG_00122	Vibrio phage nt-1	GCA_000910195.2	153
AGN30125.2--GCA_000910195.2	hypothetical protein VPFG_00123	Vibrio phage nt-1	GCA_000910195.2	69
AGN30126.1--GCA_000910195.2	sliding clamp DNA polymerase accessory protein	Vibrio phage nt-1	GCA_000910195.2	220
AGN30127.1--GCA_000910195.2	clamp loader subunit DNA polymerase accessory protein	Vibrio phage nt-1	GCA_000910195.2	317
AGN30128.2--GCA_000910195.2	clamp loader subunit DNA polymerase accessory protein	Vibrio phage nt-1	GCA_000910195.2	162
AGN30129.1--GCA_000910195.2	RegA translational repressor protein	Vibrio phage nt-1	GCA_000910195.2	126
AGN30130.2--GCA_000910195.2	hypothetical protein VPFG_00128	Vibrio phage nt-1	GCA_000910195.2	172
AGN30131.1--GCA_000910195.2	SegD homing endonuclease	Vibrio phage nt-1	GCA_000910195.2	167
AGN30132.1--GCA_000910195.2	DNA polymerase	Vibrio phage nt-1	GCA_000910195.2	850
AGN30133.1--GCA_000910195.2	hypothetical protein VPFG_00131	Vibrio phage nt-1	GCA_000910195.2	100
AGN30134.1--GCA_000910195.2	RnlA RNA ligase 1 and tail fiber attachment catalyst	Vibrio phage nt-1	GCA_000910195.2	379
AGN30135.1--GCA_000910195.2	hypothetical protein VPFG_00133	Vibrio phage nt-1	GCA_000910195.2	88
AGN30136.1--GCA_000910195.2	PseT.3	Vibrio phage nt-1	GCA_000910195.2	127
AGN30137.1--GCA_000910195.2	hypothetical protein VPFG_00135	Vibrio phage nt-1	GCA_000910195.2	122
AGN30138.1--GCA_000910195.2	hypothetical protein VPFG_00136	Vibrio phage nt-1	GCA_000910195.2	105
AGN30139.1--GCA_000910195.2	hypothetical protein VPFG_00137	Vibrio phage nt-1	GCA_000910195.2	75
AGN30140.1--GCA_000910195.2	PseT polynucleotide 5'-kinase and 3'-phosphatase	Vibrio phage nt-1	GCA_000910195.2	301
AGN30141.1--GCA_000910195.2	hypothetical protein VPFG_00139	Vibrio phage nt-1	GCA_000910195.2	201
AGN30142.2--GCA_000910195.2	Tk.4	Vibrio phage nt-1	GCA_000910195.2	171
AGN30143.1--GCA_000910195.2	hypothetical protein VPFG_00141	Vibrio phage nt-1	GCA_000910195.2	50
AGN30144.1--GCA_000910195.2	hypothetical protein VPFG_00142	Vibrio phage nt-1	GCA_000910195.2	76
AGN30145.1--GCA_000910195.2	hypothetical protein VPFG_00143	Vibrio phage nt-1	GCA_000910195.2	63
AGN30146.1--GCA_000910195.2	hypothetical protein VPFG_00144	Vibrio phage nt-1	GCA_000910195.2	87
AGN30147.1--GCA_000910195.2	hypothetical protein VPFG_00145	Vibrio phage nt-1	GCA_000910195.2	554
AGN30148.1--GCA_000910195.2	hypothetical protein VPFG_00146	Vibrio phage nt-1	GCA_000910195.2	87
AGN30149.1--GCA_000910195.2	hypothetical protein VPFG_00147	Vibrio phage nt-1	GCA_000910195.2	210
AGN30150.2--GCA_000910195.2	hypothetical protein VPFG_00148	Vibrio phage nt-1	GCA_000910195.2	125
AGN30151.1--GCA_000910195.2	hypothetical protein VPFG_00149	Vibrio phage nt-1	GCA_000910195.2	205
AGN30152.1--GCA_000910195.2	hypothetical protein VPFG_00150	Vibrio phage nt-1	GCA_000910195.2	351
AGN30153.1--GCA_000910195.2	hypothetical protein VPFG_00151	Vibrio phage nt-1	GCA_000910195.2	221
AGN30154.1--GCA_000910195.2	hypothetical protein VPFG_00152	Vibrio phage nt-1	GCA_000910195.2	130
AGN30155.1--GCA_000910195.2	hypothetical protein VPFG_00153	Vibrio phage nt-1	GCA_000910195.2	79
AGN30156.1--GCA_000910195.2	hypothetical protein VPFG_00154	Vibrio phage nt-1	GCA_000910195.2	113
AGN30157.1--GCA_000910195.2	hypothetical protein VPFG_00155	Vibrio phage nt-1	GCA_000910195.2	92
AGN30158.1--GCA_000910195.2	hypothetical protein VPFG_00156	Vibrio phage nt-1	GCA_000910195.2	451
AGN30159.1--GCA_000910195.2	hypothetical protein VPFG_00157	Vibrio phage nt-1	GCA_000910195.2	77
AGN30160.1--GCA_000910195.2	hypothetical protein VPFG_00158	Vibrio phage nt-1	GCA_000910195.2	69
AGN30161.1--GCA_000910195.2	hypothetical protein VPFG_00159	Vibrio phage nt-1	GCA_000910195.2	54
AGN30162.1--GCA_000910195.2	hypothetical protein VPFG_00160	Vibrio phage nt-1	GCA_000910195.2	61
AGN30163.1--GCA_000910195.2	hypothetical protein VPFG_00161	Vibrio phage nt-1	GCA_000910195.2	101
AGN30164.1--GCA_000910195.2	NrdA.1	Vibrio phage nt-1	GCA_000910195.2	94
AGN30165.1--GCA_000910195.2	hypothetical protein VPFG_00163	Vibrio phage nt-1	GCA_000910195.2	97
AGN30166.1--GCA_000910195.2	hypothetical protein VPFG_00164	Vibrio phage nt-1	GCA_000910195.2	278
AGN30167.1--GCA_000910195.2	hypothetical protein VPFG_00165	Vibrio phage nt-1	GCA_000910195.2	70
AGN30168.1--GCA_000910195.2	hypothetical protein VPFG_00166	Vibrio phage nt-1	GCA_000910195.2	99
AGN30169.1--GCA_000910195.2	hypothetical protein VPFG_00167	Vibrio phage nt-1	GCA_000910195.2	106
AGN30170.2--GCA_000910195.2	6-pyruvoyl tetrahydropterin synthase-like protein	Vibrio phage nt-1	GCA_000910195.2	310
AGN30171.1--GCA_000910195.2	hypothetical protein VPFG_00169	Vibrio phage nt-1	GCA_000910195.2	226
AGN30172.1--GCA_000910195.2	GTP cyclohydrolase I	Vibrio phage nt-1	GCA_000910195.2	224
AGN30173.2--GCA_000910195.2	hypothetical protein VPFG_00171	Vibrio phage nt-1	GCA_000910195.2	464
AGN30174.1--GCA_000910195.2	ExsB transcriptional regulator	Vibrio phage nt-1	GCA_000910195.2	238
AGN30175.1--GCA_000910195.2	hypothetical protein VPFG_00173	Vibrio phage nt-1	GCA_000910195.2	202
AGN30176.1--GCA_000910195.2	hypothetical protein VPFG_00174	Vibrio phage nt-1	GCA_000910195.2	91
AGN30177.1--GCA_000910195.2	hypothetical protein VPFG_00175	Vibrio phage nt-1	GCA_000910195.2	69
AGN30178.1--GCA_000910195.2	hypothetical protein VPFG_00176	Vibrio phage nt-1	GCA_000910195.2	68
AGN30179.1--GCA_000910195.2	head assembly cochaperone with GroEL	Vibrio phage nt-1	GCA_000910195.2	110
AGN30180.1--GCA_000910195.2	hypothetical protein VPFG_00178	Vibrio phage nt-1	GCA_000910195.2	129
AGN30181.2--GCA_000910195.2	recombinase endonuclease VII	Vibrio phage nt-1	GCA_000910195.2	168
AGN30182.1--GCA_000910195.2	hypothetical protein VPFG_00182	Vibrio phage nt-1	GCA_000910195.2	64
AGN30183.1--GCA_000910195.2	hypothetical protein VPFG_00183	Vibrio phage nt-1	GCA_000910195.2	179
AGN30184.1--GCA_000910195.2	hypothetical protein VPFG_00184	Vibrio phage nt-1	GCA_000910195.2	102
AGN30185.1--GCA_000910195.2	hypothetical protein VPFG_00185	Vibrio phage nt-1	GCA_000910195.2	174
AGN30186.1--GCA_000910195.2	putative DNA methyltransferase	Vibrio phage nt-1	GCA_000910195.2	190
AGN30187.1--GCA_000910195.2	hypothetical protein VPFG_00187	Vibrio phage nt-1	GCA_000910195.2	70
AGN30188.1--GCA_000910195.2	hypothetical protein VPFG_00188	Vibrio phage nt-1	GCA_000910195.2	120
